Brand,Fragrance Name ,Primary Olfactory Family,Core Key Notes
Ariana Grande,Ari,Floral Fruity Gourmand,"Pear, Raspberry, Marshmallow, Vanilla, Musk"
Ariana Grande,Cloud / Cloud 2.0 Intense,Amber Vanilla,"Lavender, Pear, Coconut, Praline, Whipped Cream"
Ariana Grande,God Is A Woman,Oriental Floral,"Ambrette (Musk Mallow), Juicy Pear, Orris, Madagascar Vanilla"
Ariana Grande,Mod Vanilla,Amber Vanilla,"Pink Freesia, Plum, Praline, Orris, Vanilla, Musk"
Ariana Grande,Moonlight,Floral Fruity,"Black Currant, Juicy Plum, Marshmallow, Peony, Sandalwood"
Ariana Grande,R.E.M,Amber Vanilla,"Zefir, Caramel, Salt, Lavender, Fig, Sandalwood"
Ariana Grande,Sweet Like Candy,Floral Fruity Gourmand,"Blackberry, Bergamot, Whipped Cream, Marshmallow, Cassis"
Ariana Grande,"Thank U, Next / Next 2.0",Floral Fruity Gourmand,"White Pear, Raspberry, Coconut, Pink Rose, Macarons, Musk"
Armaf,Club De Nuit Iconic Men,Woody Aromatic,"Grapefruit, Mint, Lemon, Ginger, Nutmeg, Sandalwood, Cedar"
Armaf,Club De Nuit Intense Man,Woody Spicy,"Lemon, Pineapple, Blackcurrant, Birch, Jasmine, Musk"
Armaf,Club De Nuit Maleka Women,Amber Floral,"Saffron, Jasmine, Rose, Oud, Amberwood, Vanilla"
Armaf,Club De Nuit Woman,Chypre Floral,"Orange, Bergamot, Rose, Jasmine, Patchouli, Vetiver"
Armaf,Club De Nuit Untold,Amber Woody,"Saffron, Jasmine, Amberwood, Ambergris, Fir Resin, Cedar"
Armaf,Delights Island Bliss,Floral Fruity,"Coconut, Pineapple, Tiare Flower, Sandalwood, Vanilla"
Armaf,Delights Yum Yum,Floral Fruity Gourmand,"Pistachio, Whipped Cream, Roasted Hazelnut, Sweet Marshmallow"
Armaf,Odyssey Candee,Floral Fruity Gourmand,"Cotton Candy, Candied Fruits, Vanilla, Soft Musk"
Armaf,Odyssey Dubai Chocolat,Amber Gourmand,"Dark Chocolate, Cacao Pod, Roasted Coffee Beans, Vanilla, Amber"
Armaf,Odyssey Homme White Edition,Amber Fougère,"Yuzu, Pink Pepper, Lavender, Amber, Leather, Woodsy Notes"
Armaf,Odyssey Mandarin Sky,Amber Woody,"Mandarin Orange, Saffron, Caramel, Tonka Bean, Leather, Patchouli"
Armaf,Odyssey Marshmallow,Amber Vanilla,"Marshmallow Flower, Sweet Vanilla, Cotton Candy, White Musk"
Armaf,Odyssey Toffee Coffee,Amber Gourmand,"Toffee, Espresso Coffee, Milk Cream, Vanilla, Sandalwood"
Armani,Acqua Di Gio Men,Aromatic Aquatic,"Marine Notes, Lime, Bergamot, Jasmine, Neroli, Cedarwood"
Armani,Acqua Di Gio Profondo,Aromatic Aquatic,"Marine Notes, Green Mandarin, Rosemary, Lavender, Patchouli"
Armani,Acqua Di Gio Women,Floral Aquatic,"Peony, Pineapple, Vodka, Lemon, Peach, Lily-of-the-Valley, Musk"
Armani,Code Men,Amber Spicy,"Lemon, Bergamot, Star Anise, Olive Blossom, Leather, Tobacco"
Armani,My Way,Floral,"Orange Blossom, Bitter Orange, Indian Tuberose, Bourbon Vanilla"
Armani,Si / Si Passione,Chypre Fruity / Floral,"Blackcurrant Nectar, Rose, Freesia, Pear, Pink Pepper, Vanilla, Cedar"
Armani,Stronger With You Intensely,Amber Fougère,"Pink Pepper, Juniper, Toffee, Cinnamon, Lavender, Vanilla"
Azzaro,Chrome / Chrome Aqua,Citrus Aromatic / Aquatic,"Lemon, Rosemary, Neroli, Grapefruit, Green Apple, Sea Mint"
Azzaro,Pour Homme,Aromatic Fougère,"Anise, Lavender, Lemon, Basil, Oakmoss, Leather, Vetiver"
Azzaro,The Most Wanted / Intense,Amber Spicy,"Cardamom, Toffee, Amberwood, Ginger, Bourbon Vanilla"
Azzaro,Wanted By Night,Woody Spicy,"Cinnamon, Mandarin Orange, Tobacco, Incense, Cedar, Leather"
Bvlgari,Man Wood Neroli,Woody Floral Musk,"Neroli, Bergamot, Orange Blossom, Cedar, White Musk"
Bvlgari,Omnia Crystalline,Floral Aquatic,"Bamboo, Nashi Pear, Lotus, Tea, Guaiac Wood"
Bvlgari,Pour Homme / Extreme,Woody Floral Musk,"Darjeeling Tea, Aldehydes, Lavender, Grapefruit, Cedar, Musk"
Billie Eilish,Eilish Women (No. 1),Amber Vanilla,"Sugar, Red Berries, Cacao, Vanilla, Warm Spices, Musk"
Billie Eilish,Eilish No. 2,Woody Floral Musk,"Bergamot, Apple Blossom, Black Pepper, Papyrus, Palo Santo, Ebony"
Hugo Boss,Boss Bottled,Woody Spicy,"Apple, Plum, Lemon, Cinnamon, Mahogany, Vanilla, Sandalwood"
Hugo Boss,Boss Ma Vie,Floral,"Cactus Flower, Pink Freesia, Jasmine, Rose, Cedarwood"
Hugo Boss,Boss The Scent Men,Aromatic Spicy,"Ginger, Mandarin Orange, Maninka Fruit, Lavender, Leather"
Hugo Boss,Boss The Scent Women,Floral Fruity,"Peach, Freesia, Osmanthus, Roasted Cocoa"
Hugo Boss,Boss XX / XY,Floral / Woody Aromatic,"Lychee, Mandarin, Basmati Rice, Pear Leaf, Cedar, Mint, Bergamot"
Britney Spears,Fantasy,Floral Fruity Gourmand,"Kiwi, Red Lychee, Golden Quince, White Chocolate, Cupcake, Orchid"
Calvin Klein,Calvin Klein All / Be / One,Citrus Aromatic,"Bergamot, Mandarin, Green Tea, Lavender, Mint, Peach, Sandalwood"
Calvin Klein,Eternity Men / Women,Fougère / Floral,"Lavender, Mandarin, Sage, Carnation, Sage, Lily, Freesia, Sandalwood"
Calvin Klein,Escape Men / Women,Aromatic / Floral Green,"Melon, Chamomile, Apricot, Eucalyptus, Grapefruit, Sage, Oakmoss"
Calvin Klein,Euphoria / My Euphoria,Amber Floral,"Pomegranate, Orchid, Lotus, Black Orchid, Sesame, Black Currant, Oud"
Calvin Klein,Obsession Men / Women,Amber Spicy,"Cinnamon, Amber, Vanilla, Nutmeg, Mandarin, Coriander, Incense"
Carolina Herrera,212 Men / 212 Sexy Men,Woody Floral Musk,"Green Notes, Grapefruit, Ginger, Gardenia, Vanilla, Cardamom, Guaiac Wood"
Carolina Herrera,212 VIP NYC / VIP Men,Amber Vanilla / Woody,"Passionfruit, Rum, Gardenia, Vanilla, Tonka Bean, Lime, Caviar, Vodka"
Carolina Herrera,212 VIP Rosé,Floral Fruity,"Champagne, Fruity Notes, Peach Blossom, White Musk, Woody Notes"
Carolina Herrera,Bad Boy / Cobalt / Elixir,Amber Spicy / Woody,"Black Pepper, White Pepper, Bergamot, Sage, Tonka, Lavender, Vetiver, Truffle"
Carolina Herrera,CH Men,Amber Spicy,"Grass, Bergamot, Leather, Nutmeg, Saffron, Sugar, Vanilla"
Carolina Herrera,Chic,Floral,"Freesia, Tuberose, Red Rose, Orange Blossom, Sandalwood, Musk"
Carolina Herrera,Good Girl / Blush / Elixir,Amber Floral,"Almond, Coffee, Tuberose, Jasmine, Tonka, Cacao, Vanilla, Peony, Patchouli"
Chloé,Chloé Chloe EDP,Floral,"Peony, Litchi, Freesia, Rose, Lily-of-the-Valley, Amber, Cedar"
Chloé,Nomade,Chypre Floral,"Mirabelle Plum, Bergamot, Lemon, Freesia, Jasmine, Oakmoss"
Coach,Blue Men,Aromatic Spicy,"Lime, Absinthe, Black Pepper, Ozonic Notes, Cedar, Amber"
Coach,Green Men,Woody Floral Musk,"Kiwi, Bergamot, Rosemary, Geranium, Cedar, Crystal Moss"
Coach,New York Men,Woody Aromatic,"Nashi Pear, Kumquat, Coriander, Cardamom, Ambergris, Suede"
Coach,Dreams / Sunset,Floral / Oriental Floral,"Bitter Orange, Pear, Gardenia, Cactus Flower, Pear Ice Cream, Magnolia"
Coach,Love EDP,Floral Fruity,"Wild Strawberry, Red Mandarin, Velvet Rose, Cedarwood"
